#separator:tab
#html:true
And you?	A ty? (expression)
Where do you live, madam?	Gdzie pani mieszka? (expression)
play, game	gra (noun, Feminine)
to play	grać (verb)
play the guitar 	grać na gitarze (expression)
to play tennis	grać w tenisa (expression)
I	ja (Pronoun)
I live in the centre too	ja też mieszkam w centrum (expression)
"What&#x27;s their name?"	Jak oni się nazywają? (expression)
what is your name, madam?	Jak się pani nazywa? (expression)
eleven	jedenaście (Numeral)
"I&#x27;m here"	jestem tutaj (expression)
"I&#x27;m from Germany"	jestem z Niemiec (expression)
"I&#x27;m from Poland "	jestem z Polski (expression)
"I&#x27;m from Italy "	jestem z Włoch (expression)
Are you from England?	Jesteś z Anglii? (expression)
you are from Spain	jesteście z Hiszpanii (expression)
we are from France	jesteśmy z Francji (expression)
to love	kochać (verb)
Polish language course	kurs języka polskiego (expression)
Mami comes back home	Mami wraca do domu (expression)
Do you have a phone?	Masz telefon? (expression)
to live	mieszkać (verb)
I live in Berlin 	mieszkam w Berlinie (expression)
I live in Cracow	mieszkam w Krakowie (expression)
I live in Rome 	mieszkam w Rzymie (expression)
we live in Cracow	mieszkamy w Krakowie (expression)
flat, apartment 	mieszkanie (noun, Neuter)
flat number... 	mieszkanie numer... (expression)
Have a nice lesson! 	Miłej lekcji! (expression)
"It&#x27;s nice to meet you!"	Miło państwa poznać! (expression)
my daughter 	moja córka (expression)
my friend 	moja koleżanka (expression)
my mum	moja mama (expression)
my teacher 	moja nauczycielka (expression)
my husband	mój mąż (expression)
my number	mój numer (expression)
my number is	mój numer to (expression)
my son	mój syn (expression)
my phone	mój telefon (expression)
we	my (Pronoun)
for example 	na przykład (expression)
really	naprawdę (expression)
nothing new	nic nowego (expression)
telephone number 	numer telefonu (expression)
of course, certainly	oczywiście
to watch, to look at	oglądać (verb)
he	on (Pronoun)
she	ona (Pronoun)
they (feminine)	one (Pronoun)
they (masculine)	oni (Pronoun)
it (neuter)	ono (Pronoun)
eighteen	osiemnaście (Numeral)
sir, you(when speaking to someone), man	pan (noun, Masculine)
woman, lady	pani (noun, Feminine)
country, state	państwo (noun, Neuter)
the Kowalskis 	państwo Kowalscy (expression)
fifteen	piętnaście (Numeral)
square	plac (noun, Masculine)
as usual / as of all 	po staremu (expression)
to work	pracować (verb)
Keep the change.	Reszta dla pana/pani. (expression)
they are from Poland 	są z Polski (expression)
(ring) binder 	segregator (noun, Masculine)
seventeen	siedemnaście (Numeral)
where from?	skąd
Where are you from? 	Skąd jesteś? (expression)
Where are you from?	Skąd pan jest? (expression)
Where are you from?	Skąd pani jest? (expression)
to study	studiować (verb)
sixteen	szesnaście (Numeral)
to sing	śpiewać (verb)
great	świetnie (adverb)
great!	świetnie! (noun, Masculine)
Excellent!	Świetnie! (expression)
so-so	tak sobie (expression)
now	teraz (adverb)
also	też
it means	to znaczy (expression)
thirteen	trzynaście (Numeral)
here are my personal details	tu są moje dane osobowe (expression)
you	ty (Pronoun)
street	ulica (noun, Feminine)
"St.John&#x27;s Street"	ulica świętego Jana (expression)
in, at	w (przyimek)
at home	w domu (expression)
in a hotel	w hotelu (expression)
in London	w Londynie (expression)
alright	w porządku (expression)
at work	w pracy (expression)
at school	w szkole (expression)
Hello!	Witam! (expression)
everything ok	wszystko dobrze (expression)
"everything&#x27;s great"	wszystko świetnie (expression)
everything is fine	wszystko w porządku (expression)
in	w/we
you (plural)	wy (Pronoun)
with, from	z (przyimek)
from England	z Anglii (expression)
from France	z Francji (expression)
with a friend	z koleżanką (expression)
from Germany	z Niemiec (expression)
with Polish family 	z polską rodziną (expression)
to know	znać (verb)
with	z/ze
wrong	źle (adverb)
to speak Polish at home	żeby mówić w domu po polsku (expression)
to work	żeby pracować (expression)
to study	żeby studiować
